Booking_ID,Booking_Date,Check_In_Date,Check_Out_Date,Nights,City,Country,Region,Property_Type,Room_Type,Guests,Price_Per_Night,Total_Price,Host_Rating,Guest_Rating,Amenities_Count,Instant_Book,Cancellation_Status,Guest_Country
10018,2020-07-13,2020-07-29,2020-08-10,12,"New York","United States","North America","Cottage","Shared room",3,103,1236,4.6,4.6,13,true,"Confirmed","United States"
10019,2020-12-09,2021-01-17,2021-01-21,4,"New York","United States","North America","Apartment","Shared room",1,91,364,4.3,4.3,10,true,"Confirmed","Germany"
10020,2023-08-10,2023-08-24,2023-08-27,3,"New York","United States","North America","Cottage","Hotel room",5,201,603,4.7,4.6,9,true,"Confirmed","United States"
10021,2021-12-07,2021-12-27,2021-12-28,1,"New York","United States","North America","Apartment","Hotel room",4,169,169,4.8,4.9,6,false,"Confirmed","United States"
10022,2022-09-03,2022-11-01,2022-11-05,4,"New York","United States","North America","Townhouse","Shared room",3,116,464,4.8,4.1,16,false,"Confirmed","United States"
10023,2022-08-14,2022-09-12,2022-09-19,7,"New York","United States","North America","Loft","Hotel room",2,250,1750,4.9,4.8,8,true,"Cancelled","United States"
10024,2020-11-05,2020-12-09,2020-12-10,1,"New York","United States","North America","Loft","Shared room",2,98,98,4.1,4.3,16,true,"Cancelled","Germany"
10025,2023-09-29,2023-11-11,2023-11-22,11,"New York","United States","North America","Studio","Entire home/apt",3,131,1441,4.4,4.8,7,true,"Confirmed","Netherlands"
10026,2021-11-09,2021-11-09,2021-11-21,12,"New York","United States","North America","Condo","Private room",1,148,1776,4.1,4.2,17,true,"Confirmed","Canada"
10027,2020-01-22,2020-03-18,2020-03-30,12,"New York","United States","North America","Studio","Private room",3,84,1008,4.1,4.6,13,false,"Confirmed","China"
10028,2021-08-24,2021-09-17,2021-09-18,1,"New York","United States","North America","Condo","Shared room",5,127,127,4.7,4.6,18,false,"Confirmed","Japan"
10029,2022-01-03,2022-01-12,2022-01-26,14,"New York","United States","North America","Loft","Entire home/apt",2,256,3584,4,5,9,true,"Confirmed","South Korea"
10030,2021-05-26,2021-07-21,2021-08-03,13,"New York","United States","North America","Loft","Hotel room",1,189,2457,4.3,4.5,19,false,"Confirmed","China"
10031,2023-03-21,2023-04-24,2023-05-03,9,"New York","United States","North America","Cottage","Private room",2,167,1503,5,4.6,8,true,"Confirmed","France"
10032,2021-05-27,2021-07-25,2021-08-07,13,"New York","United States","North America","Cottage","Hotel room",3,174,2262,4.1,4.9,11,false,"Confirmed","Brazil"
10033,2022-10-11,2022-10-26,2022-10-27,1,"New York","United States","North America","Cottage","Shared room",4,94,94,4.8,4.8,13,true,"Confirmed","Canada"
10034,2020-08-12,2020-09-01,2020-09-12,11,"New York","United States","North America","Penthouse","Private room",3,364,4004,4.5,4.4,19,false,"Confirmed","Australia"
10035,2021-12-08,2022-01-05,2022-01-06,1,"New York","United States","North America","Cottage","Hotel room",2,193,193,4.3,4.3,6,true,"Confirmed","Japan"
10036,2023-10-07,2023-10-20,2023-11-02,13,"New York","United States","North America","House","Shared room",1,109,1417,4.4,4.4,17,true,"Confirmed","France"
10037,2023-06-30,2023-07-17,2023-07-24,7,"New York","United States","North America","Villa","Shared room",1,164,1148,4.9,4.2,7,true,"Confirmed","Australia"
10038,2022-08-18,2022-08-19,2022-08-30,11,"New York","United States","North America","Loft","Hotel room",2,230,2530,4.4,4.7,5,true,"Confirmed","Germany"
10039,2023-03-29,2023-04-19,2023-04-26,7,"New York","United States","North America","Condo","Hotel room",3,153,1071,4.5,4.1,13,false,"Confirmed","Mexico"
10040,2021-07-11,2021-08-23,2021-09-02,10,"New York","United States","North America","Condo","Private room",5,199,1990,4,4.5,10,false,"Confirmed","France"
10041,2023-03-28,2023-04-13,2023-04-22,9,"New York","United States","North America","Villa","Private room",2,216,1944,4.1,4.1,9,true,"Confirmed","Netherlands"
10042,2023-08-06,2023-09-03,2023-09-17,14,"New York","United States","North America","House","Hotel room",3,259,3626,4.3,4.6,19,false,"Confirmed","United Kingdom"
10043,2020-01-11,2020-02-24,2020-03-06,11,"New York","United States","North America","House","Private room",2,188,2068,4.2,4.7,8,true,"Cancelled","Spain"
10044,2020-10-13,2020-11-18,2020-11-26,8,"New York","United States","North America","Townhouse","Entire home/apt",1,263,2104,4,4.7,6,true,"Confirmed","India"
10045,2023-10-08,2023-11-10,2023-11-23,13,"New York","United States","North America","Studio","Shared room",1,56,728,4,4.5,5,true,"Cancelled","Italy"
10046,2020-03-15,2020-05-02,2020-05-07,5,"New York","United States","North America","Loft","Shared room",1,119,595,4.8,4.5,11,false,"Confirmed","South Korea"
10047,2022-12-24,2023-02-22,2023-03-05,11,"New York","United States","North America","Cabin","Shared room",1,91,1001,4.6,4.7,10,true,"Confirmed","Australia"
10048,2020-03-01,2020-04-27,2020-04-28,1,"New York","United States","North America","Apartment","Shared room",2,70,70,4,4.9,19,false,"Confirmed","China"
10049,2023-06-27,2023-08-19,2023-08-27,8,"New York","United States","North America","Penthouse","Hotel room",3,424,3392,4.6,4.9,8,true,"Confirmed","India"
10050,2020-04-29,2020-05-03,2020-05-06,3,"New York","United States","North America","House","Private room",4,144,432,4.9,4.2,15,false,"Confirmed","United Kingdom"
10051,2023-02-17,2023-03-13,2023-03-26,13,"New York","United States","North America","Loft","Hotel room",3,152,1976,4.8,4.5,17,false,"Confirmed","Italy"
10052,2023-08-24,2023-10-05,2023-10-06,1,"New York","United States","North America","Cabin","Entire home/apt",1,178,178,4.6,4.7,19,false,"Confirmed","Germany"
10053,2020-11-05,2020-12-20,2020-12-24,4,"New York","United States","North America","Condo","Entire home/apt",3,238,952,4.6,4.6,13,false,"Confirmed","Italy"
10054,2021-01-15,2021-03-14,2021-03-27,13,"New York","United States","North America","House","Hotel room",4,187,2431,4.7,4.8,16,true,"Confirmed","South Korea"
10055,2021-12-17,2022-02-05,2022-02-07,2,"New York","United States","North America","Cottage","Private room",1,193,386,4.8,4.5,19,false,"Confirmed","Canada"
10056,2023-01-07,2023-01-20,2023-01-21,1,"New York","United States","North America","Villa","Hotel room",2,350,350,4.7,4.2,17,true,"Confirmed","Germany"
10057,2022-08-14,2022-10-08,2022-10-16,8,"New York","United States","North America","Loft","Entire home/apt",1,228,1824,4.3,4.1,18,true,"Confirmed","Italy"
10058,2020-11-28,2021-01-07,2021-01-11,4,"New York","United States","North America","House","Shared room",3,145,580,4.1,4.9,13,true,"Confirmed","Netherlands"
10059,2020-07-06,2020-07-13,2020-07-16,3,"New York","United States","North America","Villa","Private room",2,229,687,4.2,4.3,10,true,"Confirmed","Japan"
10060,2022-05-26,2022-06-19,2022-07-03,14,"New York","United States","North America","Penthouse","Entire home/apt",1,461,6454,4.7,4.3,16,false,"Cancelled","Japan"
10061,2020-11-30,2021-01-26,2021-02-04,9,"New York","United States","North America","Loft","Entire home/apt",1,244,2196,4.5,4.6,12,true,"Cancelled","France"
10062,2020-06-13,2020-06-19,2020-06-25,6,"New York","United States","North America","Cottage","Entire home/apt",1,334,2004,4.4,4.5,14,true,"Confirmed","Spain"
10063,2021-12-09,2022-01-06,2022-01-16,10,"New York","United States","North America","House","Entire home/apt",2,293,2930,4.6,4.6,19,true,"Confirmed","Netherlands"
10064,2023-04-13,2023-05-07,2023-05-12,5,"New York","United States","North America","Apartment","Entire home/apt",4,202,1010,4.2,4.8,19,false,"Confirmed","Germany"
10065,2023-10-10,2023-11-19,2023-11-24,5,"New York","United States","North America","Penthouse","Hotel room",2,306,1530,4.8,4.2,17,true,"Confirmed","Germany"
10066,2020-06-11,2020-07-20,2020-08-02,13,"New York","United States","North America","Loft","Shared room",1,99,1287,4,4.6,17,false,"Confirmed","China"
10067,2021-03-15,2021-05-11,2021-05-12,1,"New York","United States","North America","Townhouse","Shared room",4,117,117,4.1,4.1,16,false,"Confirmed","Germany"
10068,2020-02-09,2020-04-01,2020-04-15,14,"New York","United States","North America","House","Shared room",2,87,1218,4.8,4.4,6,true,"Cancelled","United States"
10069,2020-10-11,2020-12-06,2020-12-13,7,"New York","United States","North America","Penthouse","Hotel room",1,372,2604,4.7,4,9,true,"Cancelled","United Kingdom"
10070,2021-03-12,2021-05-02,2021-05-05,3,"New York","United States","North America","Loft","Private room",2,166,498,4.5,4.5,11,false,"Cancelled","Mexico"
10071,2021-04-27,2021-05-15,2021-05-23,8,"New York","United States","North America","Cabin","Entire home/apt",1,180,1440,4.8,4.8,5,true,"Confirmed","India"
10072,2021-10-01,2021-11-13,2021-11-26,13,"New York","United States","North America","Cabin","Entire home/apt",3,166,2158,4.9,4.7,15,false,"Confirmed","Japan"
10073,2020-07-08,2020-08-05,2020-08-14,9,"New York","United States","North America","Villa","Entire home/apt",2,386,3474,4.7,4.5,8,true,"Confirmed","Japan"
10074,2022-06-08,2022-06-18,2022-06-30,12,"New York","United States","North America","Villa","Shared room",1,158,1896,5,4.7,14,true,"Confirmed","China"
10075,2021-07-19,2021-07-28,2021-08-01,4,"New York","United States","North America","Studio","Hotel room",4,112,448,4.4,4.6,9,false,"Confirmed","Netherlands"
10076,2020-12-06,2021-01-29,2021-02-05,7,"New York","United States","North America","Loft","Hotel room",5,226,1582,4.4,4.9,8,false,"Cancelled","Japan"
10077,2020-04-12,2020-06-06,2020-06-08,2,"New York","United States","North America","Penthouse","Entire home/apt",2,471,942,4.9,4.1,11,true,"Confirmed","India"
10078,2023-09-11,2023-09-20,2023-09-24,4,"New York","United States","North America","Apartment","Hotel room",4,197,788,4.9,4.4,13,false,"Confirmed","United States"
10079,2021-07-05,2021-08-30,2021-09-04,5,"New York","United States","North America","Villa","Hotel room",3,332,1660,4.3,4.7,14,true,"Confirmed","France"
10080,2022-05-04,2022-06-01,2022-06-06,5,"New York","United States","North America","Loft","Shared room",3,104,520,4.3,4.6,8,false,"Confirmed","Netherlands"
10081,2021-06-27,2021-07-10,2021-07-19,9,"New York","United States","North America","Condo","Private room",3,223,2007,4,5,10,true,"Confirmed","China"
10082,2021-01-13,2021-03-10,2021-03-21,11,"New York","United States","North America","Villa","Entire home/apt",2,347,3817,4.7,4.9,13,true,"Confirmed","United States"
10083,2022-06-22,2022-06-23,2022-06-29,6,"New York","United States","North America","Loft","Private room",2,147,882,4.2,5,12,true,"Confirmed","Canada"
10084,2022-05-04,2022-06-20,2022-06-27,7,"New York","United States","North America","Cottage","Entire home/apt",5,218,1526,4.1,4,6,false,"Confirmed","Netherlands"
10085,2021-06-20,2021-07-01,2021-07-02,1,"New York","United States","North America","House","Hotel room",4,187,187,4.9,4.5,15,true,"Confirmed","Mexico"
10086,2021-11-14,2021-12-14,2021-12-27,13,"New York","United States","North America","Cottage","Entire home/apt",2,262,3406,4.3,4.1,9,true,"Cancelled","Netherlands"
10087,2020-10-07,2020-12-04,2020-12-12,8,"New York","United States","North America","Studio","Shared room",3,70,560,4.4,4.1,6,true,"Confirmed","Brazil"
10088,2023-03-02,2023-03-06,2023-03-09,3,"New York","United States","North America","Condo","Shared room",2,100,300,4.3,4.1,19,false,"Confirmed","Germany"
10089,2022-11-26,2022-12-28,2023-01-01,4,"New York","United States","North America","Townhouse","Entire home/apt",2,249,996,4.7,4.6,13,true,"Cancelled","Canada"
10090,2020-01-28,2020-02-29,2020-03-08,8,"New York","United States","North America","Cottage","Private room",2,187,1496,4.4,4.2,8,true,"Cancelled","India"
10091,2021-12-26,2022-01-24,2022-02-01,8,"New York","United States","North America","Cottage","Entire home/apt",3,211,1688,4.2,4.6,14,true,"Confirmed","India"
10092,2020-01-15,2020-03-07,2020-03-15,8,"New York","United States","North America","Studio","Entire home/apt",2,128,1024,4.7,4.3,9,false,"Confirmed","United Kingdom"
10093,2021-12-19,2022-01-12,2022-01-14,2,"New York","United States","North America","House","Hotel room",1,189,378,4.2,4.3,7,true,"Confirmed","United States"
10094,2022-07-21,2022-08-20,2022-09-03,14,"New York","United States","North America","Studio","Hotel room",2,151,2114,4.9,4.2,10,true,"Confirmed","China"
10095,2020-03-27,2020-04-16,2020-04-27,11,"New York","United States","North America","Loft","Shared room",1,102,1122,4.4,4.2,9,true,"Confirmed","South Korea"
10096,2021-07-18,2021-07-24,2021-07-28,4,"New York","United States","North America","Studio","Hotel room",2,119,476,4.8,4.2,11,false,"Confirmed","United Kingdom"
10097,2023-01-29,2023-02-12,2023-02-26,14,"New York","United States","North America","Townhouse","Entire home/apt",4,244,3416,4.5,4.4,8,false,"Confirmed","France"
10098,2023-03-12,2023-05-03,2023-05-08,5,"New York","United States","North America","Cabin","Entire home/apt",5,155,775,4,4,16,false,"Confirmed","Canada"
10099,2020-10-02,2020-11-02,2020-11-08,6,"New York","United States","North America","Apartment","Private room",3,120,720,4.8,4.7,5,true,"Confirmed","Netherlands"
10100,2022-06-17,2022-07-06,2022-07-15,9,"New York","United States","North America","Condo","Private room",1,149,1341,4,4.2,14,true,"Cancelled","Japan"
10101,2023-03-05,2023-04-23,2023-05-02,9,"New York","United States","North America","Apartment","Entire home/apt",1,208,1872,4.9,4.1,16,true,"Confirmed","Germany"
10102,2021-12-23,2022-02-01,2022-02-07,6,"New York","United States","North America","Townhouse","Entire home/apt",1,243,1458,4.9,4,17,false,"Confirmed","United Kingdom"
10103,2021-02-11,2021-03-26,2021-04-07,12,"New York","United States","North America","Condo","Entire home/apt",3,283,3396,4.2,4.5,15,false,"Cancelled","Germany"
10104,2022-08-07,2022-10-06,2022-10-18,12,"New York","United States","North America","Townhouse","Private room",3,158,1896,4.7,4.4,7,false,"Confirmed","Canada"
10105,2020-06-22,2020-07-03,2020-07-05,2,"New York","United States","North America","Studio","Private room",2,143,286,4.8,4.9,13,true,"Confirmed","Australia"
10106,2020-09-25,2020-10-02,2020-10-05,3,"New York","United States","North America","Studio","Hotel room",1,97,291,4.7,4.4,9,true,"Confirmed","Netherlands"
10107,2022-03-06,2022-04-19,2022-04-26,7,"New York","United States","North America","Apartment","Hotel room",1,126,882,4.9,4.6,9,false,"Cancelled","Spain"
10108,2023-12-06,2024-01-04,2024-01-07,3,"New York","United States","North America","House","Shared room",2,132,396,4.3,4.7,16,false,"Cancelled","United Kingdom"
10109,2021-12-27,2022-01-17,2022-01-27,10,"New York","United States","North America","Cottage","Entire home/apt",4,234,2340,4.6,4.7,5,false,"Confirmed","China"
10110,2023-10-25,2023-10-28,2023-11-07,10,"New York","United States","North America","Loft","Private room",1,128,1280,4.3,4.3,10,true,"Confirmed","Brazil"
10111,2021-03-22,2021-04-21,2021-05-04,13,"New York","United States","North America","House","Private room",2,169,2197,4.1,4.6,7,true,"Cancelled","India"
10112,2022-11-03,2022-12-11,2022-12-16,5,"New York","United States","North America","House","Entire home/apt",1,255,1275,4.6,4.1,15,false,"Confirmed","Brazil"
10113,2021-09-05,2021-10-09,2021-10-19,10,"New York","United States","North America","Condo","Shared room",1,87,870,4.5,4.9,7,false,"Confirmed","Australia"
10114,2022-12-31,2023-01-12,2023-01-25,13,"New York","United States","North America","Condo","Shared room",1,95,1235,4.9,4,19,true,"Confirmed","Spain"
10115,2022-01-04,2022-01-23,2022-01-25,2,"New York","United States","North America","House","Shared room",3,114,228,4.7,4,18,true,"Cancelled","Brazil"
10116,2022-07-28,2022-08-19,2022-08-29,10,"New York","United States","North America","Loft","Private room",5,168,1680,4.7,4.5,5,true,"Confirmed","Mexico"
10117,2020-04-05,2020-04-27,2020-05-03,6,"New York","United States","North America","Condo","Entire home/apt",1,252,1512,4.4,4.3,17,true,"Confirmed","India"
10118,2021-03-08,2021-03-09,2021-03-19,10,"New York","United States","North America","Loft","Private room",1,169,1690,4.9,4.2,17,true,"Confirmed","Brazil"
10119,2020-03-02,2020-03-05,2020-03-13,8,"New York","United States","North America","Cabin","Private room",1,120,960,4.8,4.3,13,false,"Confirmed","Netherlands"
10120,2023-09-18,2023-11-03,2023-11-15,12,"New York","United States","North America","Penthouse","Hotel room",2,328,3936,4.6,4.4,6,false,"Confirmed","United States"
10121,2021-05-12,2021-06-27,2021-07-02,5,"New York","United States","North America","Loft","Entire home/apt",1,236,1180,4,4.5,16,false,"Cancelled","Brazil"
10122,2020-04-24,2020-05-05,2020-05-19,14,"New York","United States","North America","Cabin","Entire home/apt",3,172,2408,4.3,4.3,11,false,"Confirmed","Italy"
10123,2021-05-09,2021-06-09,2021-06-19,10,"New York","United States","North America","Apartment","Hotel room",5,175,1750,4.3,4.2,6,false,"Confirmed","Germany"
10124,2022-08-14,2022-08-27,2022-09-05,9,"New York","United States","North America","House","Entire home/apt",2,394,3546,5,4.5,8,true,"Confirmed","Netherlands"
10125,2022-12-12,2023-01-26,2023-02-07,12,"New York","United States","North America","Villa","Private room",3,234,2808,4.6,4.3,5,false,"Cancelled","Australia"
10126,2023-12-14,2024-02-06,2024-02-16,10,"New York","United States","North America","Cottage","Shared room",2,82,820,4.9,4.9,12,false,"Confirmed","Canada"
10127,2022-09-04,2022-10-10,2022-10-20,10,"New York","United States","North America","Studio","Shared room",4,44,440,4.3,4.4,8,true,"Confirmed","Netherlands"
10128,2021-01-26,2021-02-20,2021-02-26,6,"New York","United States","North America","Cabin","Private room",4,152,912,4.4,4.7,7,false,"Confirmed","Australia"
10129,2023-06-06,2023-07-11,2023-07-20,9,"New York","United States","North America","Loft","Shared room",2,130,1170,4.3,4.4,10,true,"Confirmed","Italy"
10130,2020-10-04,2020-11-07,2020-11-19,12,"New York","United States","North America","Apartment","Hotel room",3,124,1488,4.2,4.2,9,false,"Confirmed","Spain"
10131,2021-12-13,2022-02-09,2022-02-23,14,"New York","United States","North America","Studio","Private room",1,93,1302,4.5,4.7,19,true,"Cancelled","Japan"
10132,2020-12-04,2021-02-01,2021-02-10,9,"New York","United States","North America","Cottage","Entire home/apt",5,260,2340,4.5,4.5,16,true,"Confirmed","United States"
10133,2023-02-02,2023-02-17,2023-02-21,4,"New York","United States","North America","Cabin","Private room",2,168,672,4.7,4,15,false,"Confirmed","Australia"
10134,2020-07-14,2020-08-20,2020-08-27,7,"New York","United States","North America","Condo","Private room",3,191,1337,4.5,4.4,6,false,"Cancelled","Netherlands"
10135,2020-02-16,2020-03-13,2020-03-15,2,"New York","United States","North America","Apartment","Entire home/apt",2,198,396,4,4.6,5,true,"Confirmed","India"
10136,2022-10-28,2022-11-21,2022-12-05,14,"New York","United States","North America","Studio","Shared room",5,45,630,4.4,4.2,19,true,"Confirmed","Netherlands"
10137,2023-07-15,2023-09-06,2023-09-13,7,"New York","United States","North America","Cabin","Entire home/apt",2,223,1561,4.9,4.9,14,true,"Confirmed","United States"
10138,2022-09-14,2022-10-23,2022-10-31,8,"New York","United States","North America","Studio","Entire home/apt",3,146,1168,4.9,5,19,true,"Confirmed","Spain"
10139,2020-12-28,2021-02-01,2021-02-08,7,"New York","United States","North America","Apartment","Shared room",4,102,714,4.9,4.2,5,true,"Confirmed","South Korea"
10140,2023-06-13,2023-07-21,2023-08-01,11,"New York","United States","North America","Condo","Private room",1,198,2178,4.2,4.9,6,false,"Cancelled","India"
10141,2021-03-22,2021-04-06,2021-04-08,2,"New York","United States","North America","Studio","Private room",2,73,146,4.1,4.4,16,true,"Confirmed","Canada"
10142,2023-10-16,2023-11-30,2023-12-04,4,"New York","United States","North America","Penthouse","Entire home/apt",4,338,1352,4.8,4.2,11,true,"Confirmed","South Korea"
10143,2020-05-22,2020-06-17,2020-06-19,2,"New York","United States","North America","Townhouse","Hotel room",2,259,518,4.4,4.2,18,true,"Confirmed","Japan"
10144,2022-11-20,2023-01-05,2023-01-14,9,"New York","United States","North America","Townhouse","Private room",4,264,2376,4.4,4.3,15,true,"Confirmed","Spain"
10145,2020-11-03,2020-12-02,2020-12-15,13,"New York","United States","North America","Studio","Entire home/apt",1,178,2314,4.8,4.2,9,true,"Confirmed","Italy"
10146,2020-09-27,2020-11-14,2020-11-19,5,"New York","United States","North America","House","Private room",5,168,840,4.2,5,15,false,"Confirmed","Canada"
10147,2022-03-11,2022-05-07,2022-05-14,7,"New York","United States","North America","Penthouse","Shared room",4,169,1183,4.7,4.8,16,true,"Confirmed","Germany"
10148,2021-08-23,2021-09-26,2021-10-08,12,"New York","United States","North America","Studio","Private room",2,111,1332,4.1,4.4,11,true,"Confirmed","Australia"
10149,2020-06-19,2020-07-26,2020-08-09,14,"New York","United States","North America","Penthouse","Entire home/apt",3,588,8232,4.6,4.3,11,false,"Confirmed","Canada"
10150,2022-10-09,2022-10-14,2022-10-15,1,"New York","United States","North America","Cabin","Shared room",3,79,79,4.9,4.6,19,false,"Confirmed","France"
10151,2020-10-24,2020-10-31,2020-11-01,1,"New York","United States","North America","House","Entire home/apt",1,269,269,4.9,4.2,10,true,"Confirmed","Netherlands"
10152,2023-11-28,2023-12-18,2023-12-31,13,"New York","United States","North America","Loft","Entire home/apt",1,229,2977,4.3,5,11,false,"Confirmed","Brazil"
10153,2020-08-30,2020-10-06,2020-10-18,12,"New York","United States","North America","Apartment","Private room",2,135,1620,4.2,4.5,5,false,"Cancelled","India"
10154,2022-07-29,2022-09-04,2022-09-17,13,"New York","United States","North America","Apartment","Hotel room",2,192,2496,4.5,4.3,17,true,"Confirmed","Canada"
10155,2021-09-03,2021-09-26,2021-09-29,3,"New York","United States","North America","Condo","Private room",2,147,441,4.5,4.3,9,true,"Confirmed","United States"
10156,2023-09-08,2023-10-21,2023-10-22,1,"New York","United States","North America","House","Hotel room",4,221,221,4.9,4.6,13,true,"Cancelled","Italy"
10157,2023-11-06,2023-11-14,2023-11-19,5,"New York","United States","North America","Cabin","Hotel room",1,127,635,4.6,4.2,5,false,"Cancelled","Germany"
10158,2020-08-17,2020-09-22,2020-09-28,6,"New York","United States","North America","Villa","Shared room",3,175,1050,4.4,4.6,18,false,"Confirmed","Netherlands"
10159,2023-05-19,2023-07-10,2023-07-13,3,"New York","United States","North America","Townhouse","Private room",2,184,552,4.3,4.9,14,false,"Confirmed","Mexico"
10160,2023-11-04,2023-12-04,2023-12-16,12,"New York","United States","North America","Condo","Hotel room",4,212,2544,4.2,4.7,14,false,"Confirmed","Canada"
10161,2020-12-16,2021-01-06,2021-01-19,13,"New York","United States","North America","Apartment","Shared room",1,70,910,4.2,4.9,17,true,"Confirmed","Japan"
10162,2020-03-24,2020-04-06,2020-04-10,4,"New York","United States","North America","Apartment","Private room",1,145,580,4.1,4.3,8,false,"Confirmed","Brazil"
10163,2023-09-09,2023-10-18,2023-10-23,5,"New York","United States","North America","House","Shared room",1,79,395,4.2,4.2,5,true,"Confirmed","Australia"
10164,2021-04-02,2021-05-01,2021-05-06,5,"New York","United States","North America","House","Private room",5,221,1105,4.5,4.2,19,true,"Confirmed","United Kingdom"
10165,2021-02-05,2021-02-07,2021-02-10,3,"New York","United States","North America","Penthouse","Entire home/apt",1,381,1143,4.7,4.1,18,false,"Confirmed","Canada"
10166,2023-03-06,2023-04-28,2023-05-02,4,"New York","United States","North America","House","Private room",4,217,868,4.6,5,10,true,"Confirmed","Japan"
10167,2023-01-19,2023-03-19,2023-03-30,11,"New York","United States","North America","Condo","Entire home/apt",1,191,2101,4.6,4.6,6,false,"Confirmed","Canada"
10168,2020-06-21,2020-08-16,2020-08-19,3,"New York","United States","North America","Loft","Hotel room",2,182,546,4.9,4.4,16,true,"Cancelled","Canada"
10169,2023-01-04,2023-01-22,2023-01-31,9,"New York","United States","North America","Condo","Entire home/apt",2,233,2097,4.7,4.5,9,true,"Confirmed","Canada"
10170,2022-04-06,2022-05-23,2022-05-30,7,"New York","United States","North America","Villa","Private room",4,207,1449,4.5,4.9,19,true,"Confirmed","Mexico"
10171,2023-11-17,2023-11-28,2023-11-29,1,"New York","United States","North America","Apartment","Shared room",2,65,65,4.7,4.8,5,true,"Confirmed","Netherlands"
10172,2020-12-24,2021-02-13,2021-02-21,8,"New York","United States","North America","Apartment","Shared room",2,75,600,4.1,4,19,true,"Confirmed","Germany"
10173,2022-06-07,2022-07-04,2022-07-11,7,"New York","United States","North America","Studio","Entire home/apt",2,153,1071,4.4,4.2,17,false,"Confirmed","Germany"
10174,2023-01-05,2023-02-04,2023-02-12,8,"New York","United States","North America","Cabin","Private room",4,142,1136,4.5,4.4,8,true,"Confirmed","China"
10175,2022-10-29,2022-11-04,2022-11-18,14,"New York","United States","North America","Townhouse","Entire home/apt",3,327,4578,4.1,4.6,13,false,"Cancelled","South Korea"
10176,2020-06-12,2020-08-06,2020-08-09,3,"New York","United States","North America","Loft","Private room",2,176,528,4.4,4.8,12,false,"Confirmed","Japan"
10177,2021-07-25,2021-07-28,2021-08-05,8,"New York","United States","North America","Penthouse","Private room",2,268,2144,4.5,4.8,9,false,"Confirmed","United States"
10178,2023-02-12,2023-04-11,2023-04-25,14,"New York","United States","North America","Studio","Entire home/apt",2,149,2086,4.7,4.6,10,true,"Confirmed","Netherlands"
10179,2020-04-19,2020-05-20,2020-05-21,1,"New York","United States","North America","Cottage","Entire home/apt",2,232,232,4.4,4.7,13,false,"Cancelled","China"
